doi;coo_authors
10.1093/JIGPAL/JZI039;Martin Dost·l
10.1007/978-3-642-22098-2_26;Martin Dost·l
10.1007/978-3-642-22098-2_27;Martin Dost·l
10.1007/S00500-012-0875-8;Martin Dost·l
10.1007/978-3-642-30504-7_15;Martin Dost·l
10.1007/978-3-642-30504-7_37;Martin Dost·l
10.1007/3-540-47849-3_23;P¯emysl Brada
10.1145/503209.503250;P¯emysl Brada
10.1109/CMPSAC.2002.1045140;P¯emysl Brada
10.1109/ECBS.2004.1316706;P¯emysl Brada, Stanislav Racek, P. Grilinger
10.1109/ISORC.2004.1300363;P¯emysl Brada, Stanislav Racek, P. Grilinger
10.1109/EUROMICRO.2006.50;P¯emysl Brada, Lukas Valenta
10.1007/978-3-540-87891-9_22;P¯emysl Brada
10.1109/SEAA.2008.51;P¯emysl Brada
10.1109/SEAA.2009.80;P¯emysl Brada, Jaroslav Bauml
10.1109/SEAA.2009.91;P¯emysl Brada
10.1016/J.ENTCS.2010.07.005;P¯emysl Brada, Kamil Jeûek, Petr ätÏp·n
10.1016/J.ENTCS.2011.02.002;P¯emysl Brada, Jaroslav Bauml
10.1016/J.ENTCS.2011.11.009;P¯emysl Brada
10.1016/J.ENTCS.2011.11.012;P¯emysl Brada, Jaroslav änajberk
10.1109/ECBS-EERC.2011.41;Pavel Herout, Premek Brada, Jaroslav Snajberk, Richard Lipka, Tomas Potuzak
10.1007/978-3-642-32341-6_14;Premek Brada, Kamil Jeûek 
10.1007/978-3-642-25878-7_44;Premek Brada, Lukas Holy
10.1109/SEAA.2012.48;Premek Brada, Kamil Jeûek 
10.1109/SEAA.2012.18;Pavel Herout, Premek Brada, Richard Lipka, Tomas Potuzak
10.1109/IV.2012.17;Premek Brada, Kamil Jeûek , Lukas Holy, Jaroslav Snajberk
10.1109/IV.2012.20;Premek Brada, Lukas Holy, Jaroslav Snajberk
10.1007/978-3-642-30561-0_9;Premek Brada, Lukas Hol˝, Kamil Jeûek
10.1109/VLHCC.2012.6344540;Premek Brada, Lukas Hol˝, Jaroslav Snajberk
10.1109/VLHCC.2012.6344541;Premek Brada, Lukas Hol˝, Kamil Jeûek
10.1109/VLHCC.2012.6344547;Premek Brada, Jaroslav Snajberk, Kamil Jeûek
10.1109/CSMR.2013.53;Premek Brada, Lukas Hol˝, Kamil Jeûek
10.1109/CSMR.2013.60;Premek Brada, Lukas Hol˝, Jaroslav Snajberk
10.1109/EUROCON.2013.6625023;Pavel Herout, Premek Brada, Richard Lipka, Tomas Potuzak
10.1109/SEAA.2013.58;Premek Brada, Lukas Hol˝, Kamil Jeûek, Antonin Slezacek
10.1109/ICSM.2013.82;Premek Brada, Kamil Jeûek , Lukas Holy, Jaroslav Snajberk
10.1007/978-3-642-35843-2_36;Pavel Herout, Premek Brada, Richard Lipka, Tomas Potuzak
10.1109/VLHCC.2013.6645263;Premek Brada, Lukas Hol˝, Kamil Jeûek
10.1109/CSMR-WCRE.2014.6747226;Premek Brada, Kamil Jeûek, Jens Dietrich
10.1016/J.INFSOF.2015.02.014;Premek Brada, Kamil Jeûek, Jens Dietrich
10.1016/J.SCICO.2014.06.013;Premek Brada, Kamil Jeûek
10.1109/SEAA.2015.32;Premek Brada, Richard Lipka, Tom· Potu·k, Petr Hnetynka, JirÌ Vin·rek
10.1007/S10664-015-9389-1;Premek Brada, Kamil Jeûek, Jens Dietrich
10.1109/CSEET.2016.33;Pavel Herout, Premek Brada
10.1109/SEAA.2016.37;Premek Brada, Petr PÌcha
10.1007/978-3-662-49192-8_37;Premek Brada, Jakub DanÏk
10.4230/LIPICS.ECOOP.2017.9;Premek Brada, Kamil Jeûek, Jens Dietrich, David J. Pearce
10.15439/2017F139;Premek Brada, Richard Lipka, Tom·ö Potuû·k
10.1109/ICSAW.2017.46;Premek Brada, Petr PÌcha, Ralf Ramsauer, Wolfgang Mauerer
10.4230/DARTS.3.2.6;Premek Brada, Kamil Jeûek, Jens Dietrich, David J. Pearce
10.1145/3361149.3361178;Premek Brada, Petr PÌcha
10.1145/3361149.3361169;Premek Brada, Petr PÌcha
10.5220/0007579803300337;Premek Brada, Petr PÌcha, Luk·ö Hol˝, Richard Lipka
10.5220/0007472503960403;Premek Brada, Sangita De, Michael Niklas, J¸rgen Mottok
10.1109/SEAA51224.2020.00034;Premek Brada, ZdenÏk Valeö
10.5220/0009164002880293;Premek Brada, Lukas Hol˝, Kamil Jeûek, Richard Lipka
10.1016/J.PROCS.2020.03.151;Premek Brada, Sangita De, Michael Niklas, Rooney Brian, Juergen Mottok
10.1109/SEAA51224.2020.00024;Premek Brada, Petr PÌcha, Lenka Simeckova
10.1145/3384419.3430443;Premek Brada, Luk·ö »ern˝, Michal Kepka
10.32473/FLAIRS.V34I1.128512;Premek Brada, Sangita De, Juergen Mottok, Michael Niklas
10.48550/ARXIV.2204.06816;Premek Brada, Danny Weyns, Ilias Gerostathopoulos, Nadeem Abbas, Jesper Andersson, Stefan Biffl, Tomas Bures, Amleto Di Salle, Patricia Lago, Angelika Musil, Premek Brada, Danny Weyns, Ilias Gerostathopoulos, Nadeem Abbas, Jesper Andersson, Stefan Biffl, Tomas Bures, Amleto Di Salle, Patricia Lago, Angelika Musil, Juergen Musil, Patrizio Pelliccione
10.1145/3524844.3528077;Pavel Kr·l
10.48550/ARXIV.2211.03116;Karel Dudacek
10.1007/978-3-642-54903-8_35;Karel Dudacek
10.1109/DDECS.2008.4538772;Karel Dudacek
10.3103/S0146411619030039;Pavel Herout, Jan HlaviËka, Stanislav Racek
10.1109/ICAT47117.2019.8938958;Pavel Herout, Jan HlaviËka, Stanislav Racek
10.1016/S0928-4869(00)00009-4;Pavel Herout, Astrit Ademaj, P. Grillinger, J. Hlavicka
10.1007/3-540-36080-8_23;Pavel Herout, Richard Lipka
10.1109/OLT.2002.1030178;Pavel Herout, Richard Lipka
10.1109/UKSIM.2008.53;Pavel Herout, Miroslav Bures, Bestoun S. Ahmed
10.7148/2009-0151-0157;Pavel Herout, Tom·ö Kohlsch¸tter
10.1007/978-3-642-33191-6_53;Pavel Herout, Tom·ö Kohlsch¸tter
10.1109/ICST46399.2020.00059;Miloslav KonopÌk, Ivan Habernal
10.1109/ICST49551.2021.00059;Miloslav KonopÌk, Ivan Habernal
10.1007/11551874_45;Miloslav KonopÌk, Ivan Habernal
10.1007/978-3-540-87391-4_11;Miloslav KonopÌk, Ivan Habernal
10.1007/978-3-642-04208-9_42;Miloslav KonopÌk, Ivan Habernal
10.1007/978-3-642-04208-9_43;Miloslav KonopÌk, Ond¯ej RohlÌk
10.1007/978-3-642-17313-4_37;Miloslav KonopÌk, Tom·ö BrychcÌn
10.1007/978-3-642-15760-8_17;Miloslav KonopÌk, Michal Konkol
10.1109/IDAACS.2011.6072829;Miloslav KonopÌk, Ivan Habernal
10.1007/978-3-642-23538-2_26;Miloslav KonopÌk, Michal Konkol
10.1016/J.ESWA.2012.12.070;Miloslav KonopÌk, Tom·ö BrychcÌn
10.1007/978-3-642-40585-3_20;Miloslav KonopÌk, Michal Konkol
10.1016/J.CSL.2013.05.001;Miloslav KonopÌk, Tom·ö BrychcÌn
10.1007/978-3-319-10816-2_33;Miloslav KonopÌk, Tom·ö BrychcÌn, Michal Konkol
10.1016/J.CSL.2015.01.004;Miloslav KonopÌk, Ondr?ej Praz?·k 
10.1016/J.ESWA.2014.12.015;Miloslav KonopÌk, Tom·ö BrychcÌn
10.1016/J.IPM.2014.08.006;Miloslav KonopÌk, Michal Konkol
10.1007/978-3-319-23132-7_30;Miloslav KonopÌk,†Ond¯ej Praû·k,†David Steinberger,†Tom·ö BrychcÌn
10.1007/978-3-319-24033-6_7;Miloslav KonopÌk,†Ond¯ej Praû·k,†David Steinberger
10.18653/V1/S16-1124;Miloslav KonopÌk, Ondr?ej Praz?·k 
10.26615/978-954-452-049-6_053;Miloslav KonopÌk, Ondr?ej Praz?·k 
10.26615/978-954-452-049-6_077;Miloslav KonopÌk, Ondr?ej Praz?·k, Jakub Sido
10.1007/978-3-030-00794-2_6;Miloslav KonopÌk, Ondr?ej Praz?·k 
10.13053/CYS-23-3-3259;Miloslav KonopÌk, Jakub Sido
10.26615/978-954-452-056-4_112;Miloslav KonopÌk, Kamil Ekötein, Ond¯ej Praû·k, Jakub Sido 
10.1007/978-3-030-26061-3_45;Miloslav KonopÌk, Kamil Ekötein, Frantiöek P·rtl
10.1007/978-3-030-90425-8_5;Miloslav KonopÌk, VojtÏch BartiËka, Ond¯ej Praû·k, Jakub Sido
10.1007/978-3-030-83527-9;Miloslav KonopÌk, Jan Paöek, Jakub Sido, Ond¯ej Praû·k
10.1007/978-3-031-16270-1_1;Miloslav KonopÌk, ZdenÏk éabokrtsk˝, Anna Nedoluzhko, Michal Nov·k, Maciej Ogrodniczuk, Martin Popel, Ond¯ej Praû·k, Jakub Sido, Daniel Zeman, Yilun Zhu
10.48550/ARXIV.2203.14093;Miloslav KonopÌk, Ondr?ej Praz?·k 
10.48550/ARXIV.2209.07841;Jana KleËkov·†
10.48550/ARXIV.2209.12516;Jana KleËkov·†
10.1007/3-540-48239-3_49;Jana KleËkov·, Christophe Cerisara, Pavel Kr·l
10.1007/978-3-540-39398-6_40;Jana KleËkov·, Christophe Cerisara, Pavel Kr·l
10.1109/ICASSP.2006.1659957;Jana KleËkov·, Petr Pinkas
10.1109/ICASSP.2007.367186;Jana KleËkov·†
10.1109/ICITST.2009.5402562;Jana KleËkov·, VladimÌr Rohan, Petr Maule
10.1109/ICONS.2009.41;Jana KleËkov·, Svetlana Machova
10.1109/ICONS.2009.37;Petr VËel·k,  Jana KleËkov·
10.1109/NLPKE.2010.5587805;Jana KleËkov·, Svetlana Machova
10.1109/BMEI.2011.6098665;Petr Vcelak, Jana Kleckova, Michal Kratochvil, Vladimir Rohan
10.1007/978-3-642-28493-9_18;Petr Vcelak, Jana Kleckova, Michal Kratochvil, Vladimir Rohan
10.1109/BMEI.2012.6513206;Jana KleËkov·, Petr Maule, VladimÌr Rohan, Radek Tup˝
10.1109/BMEI.2012.6513038;Petr Vcelak, Michal Kratochvil, Jana Kleckova
10.1007/S11548-013-0815-9;Petr Vcelak, Martin Kryl, Ladislav Racak, Jana Kleckova
10.1109/BMEI.2014.7002892;Petr Vcelak, Martin Kryl, Michal Kratochvil, Jana Kleckova
10.5220/0006155303340339;Petr Vcelak, Martin Kryl, Jana Kleckova
10.1109/CISP-BMEI.2017.8302291;Petr Vcelak, Martin Kryl, Michal Kratochvil, Jana Kleckova
10.1109/CISP-BMEI.2018.8633266;Ivana Kolingerov·†
10.1016/J.IJMEDINF.2019.02.011;Ivana Kolingerov·, Andrej Ferko
10.1007/S003710050088;Ivana Kolingerov·, Borut éalik
10.1007/S003710100125;Ivana Kolingerov·, Josef Kohout 
10.1016/S0097-8493(02)00090-0;Ivana Kolingerov· 
10.1007/S00371-002-0173-Z;Ivana Kolingerov·, Borut éalik
10.1007/3-540-47789-6_13;Ivana Kolingerov·, Josef Kohout 
10.1080/713811749;Ivana Kolingerov·, Petr Vanecek
10.1007/S00371-003-0219-X;Ivana Kolingerov·, Josef Kohout 
10.1145/984952.984966;Ivana Kolingerov·, Michal Varnuska
10.1145/984952.984967;Ivana Kolingerov·, Josef Kohout, Ji¯Ì é·ra 
10.1145/984952.984968;Ivana Kolingerov·, Petr Vanecek
10.1016/J.CAG.2004.06.009;Ivana Kolingerov·, V·clav Strych, V·clav »ada 
10.1109/CGI.2004.1309186;Ivana Kolingerov·, Michal Varnuöka
10.1007/978-3-540-25944-2_16;Ivana Kolingerov· 
10.1007/978-3-540-25944-2_19;Ivana Kolingerov·, Michal Varnuöka
10.1007/978-3-540-24709-8_58;Ivana Kolingerov·, Pavel Maur
10.1007/978-3-540-24767-8_21;Ivana Kolingerov·, Jind¯ich Parus
10.1007/978-3-540-24709-8_72;Ivana Kolingerov·, Josef Kohout, Ji¯Ì é·ra 
10.1145/1037210.1037221;Ivana Kolingerov·, Borut éalik
10.1016/J.PARCO.2005.02.010;Ivana Kolingerov·, Michal Varnuska, Josef Kohout
10.1016/J.CAGEO.2005.12.004;Ivana Kolingerov·, Petr M‰rz, Bedrich Beneö
10.1007/11751540_9;Ivana Kolingerov·, Petr VanÏËek
10.1145/2602161.2602173;Ivana Kolingerov·, Michal Varnuska
10.1016/J.CAG.2006.10.003;Ivana Kolingerov·, Jind¯ich Parus, Anders Hast
10.1504/IJCSE.2007.014461;Ivana Kolingerov·
10.1080/2151237X.2007.10129249;Ivana Kolingerov·, Petr Broû, P¯emysl ZÌtka, Russel Ahmed Apu, Marina Gavrilova
10.2312/EGED.20071010;Ivana Kolingerov·
10.1145/2614348.2614381;Ivana Kolingerov·, Francisco Ramos, Miguel Chover, Jindra Parus
10.1111/J.1467-8659.2008.01172.X;Ivana Kolingerov·
10.1007/978-3-540-69387-1_10;Ivana Kolingerov·, Jind¯ich Parus, Martina M·lkov·
10.1007/978-3-540-85126-4_11;Ivana Kolingerov·, Maty·ö Dol·k, V·clav Strych
10.1016/J.ADVENGSOFT.2008.06.001;Ivana Kolingerov·, Michal Zemek
10.1016/J.CAGEO.2008.12.017;Ivana Kolingerov·, Martina M·lkov·, Jind¯ich Parus, Bed¯ich Beneö 
10.1145/1980462.1980490;Ivana Kolingerov·, Josef Kohout, Michal Rulf, V·clav Uher 
10.1007/S00371-009-0396-3;Ivana Kolingerov·, Tom·ö Vom·Ëka
10.1007/978-3-642-15907-7_6;Ivana Kolingerov·, Martin Man·k
10.1007/978-3-642-15907-7_43;Ivana Kolingerov·, Roman Soukal
10.1109/ISVD.2010.22;Ivana Kolingerov·, Jan TrËka, Borut éalik
10.1016/J.PROCS.2010.04.025;Ji¯Ì Sk·la, Ivana Koligerov·
10.1016/J.ADVENGSOFT.2011.04.006;Ivana Kolingerov·, Jan TrËka, Ladislav Hobza 
10.1016/J.CAGEO.2010.10.005;Ivana Kolingerov·, Michal Zemek
10.1007/978-3-642-21931-3_3;Ivana Kolingerov·, V·clav Purchart, Tom·ö Paöek, Petr VanÏËek 
10.1007/978-3-642-21931-3_14;Ivana Kolingerov·, Roman Soukal, Martina Malkov·
10.1007/978-3-642-33564-8_27;Ivana Kolingerov·, Roman Soukal, V·clav Purchart
10.1007/978-3-642-33191-6_73;Ivana Kolingerov·, Jan Jeûek
10.1016/J.ADVENGSOFT.2014.05.004;Ivana Kolingerov·, Petr MartÌnek
10.1007/978-3-319-03611-3_10;Ivana Kolingerov·, Jan Byöka, Barbora KozlÌkov·, Ji¯Ì Sochor
10.5220/0004669701040111;Ivana Kolingerov·, MartÌnek Petr
10.1145/2788539.2788550;Ivana Kolingerov·, VÏra Skorkovsk·
10.1145/2788539.2788561;Ivana Kolingerov·, VÏra Skorkovsk·, Libor V·öa, Petr VanÏËek, Martin Prantl, Petr MartÌnek
10.1016/J.CAG.2016.02.001;Ivana Kolingerov·, Martin Manak
10.1111/CGF.12982;Ivana Kolingerov·, Martin Prantl, Libor V·öa
10.1016/J.IPL.2015.09.017;Ivana Kolingerov·, Martin Prantl, Libor V·öa
10.5220/0005676801490158;Ivana Kolingerov·, Martin Manak, L. Jirovsk˝
